Experiment Name:,TURNT_Mo22_Plate1_6_17_22

Tube Name:,Sample ID:,Volume(μL):,All Events ,Include Events,HBacteria Events,PEukaryote Events,Synococcus Events,Prochlorococcus Events,All Events  Mean Chla-A,Include Mean Chla-A,HBacteria Mean Chla-A,PEukaryote Mean Chla-A,Synococcus Mean Chla-A,Prochlorococcus Mean Chla-A
01-Well-A1,,75.0,64826,48954,41928,63,66,130,3689.1,566.1,23.7,172875.8,34896.1,2666.1
01-Well-A2,,75.0,141577,107531,99308,27,300,432,1003.1,332.0,18.8,183317.5,33161.6,2595.1
01-Well-A3,,75.0,123352,93637,85754,37,178,355,1950.7,331.6,23.6,157703.6,30968.3,2799.2
01-Well-A4,,75.0,143144,108712,97912,39,149,214,937.9,179.9,21.5,213642.7,25232.0,1901.1
01-Well-A5,,75.1,138082,103871,94775,41,165,299,927.5,187.9,23.5,138194.5,29787.2,2263.8
01-Well-A6,,75.0,112823,85033,80828,28,436,587,702.7,477.3,15.7,202544.4,38809.0,3541.9
01-Well-A7,,75.0,198740,152131,136032,36,683,912,2535.0,1777.1,23.3,119369.2,29912.5,2729.9
01-Well-A8,,75.1,164163,124224,117922,28,334,377,645.7,310.3,19.2,165516.6,27392.1,2163.4
01-Well-A9,,75.1,167361,126907,119230,34,290,426,455.7,194.9,20.5,167602.1,29799.2,2899.2
01-Well-A10,,75.0,94765,70518,63641,59,196,322,799.8,458.6,21.7,222796.8,42452.4,3134.5
01-Well-A11,,75.1,106567,79130,72569,38,245,417,769.9,276.5,19.5,175306.3,40363.0,3445.1
01-Well-A12,,75.1,133439,99630,85732,73,70,106,328.8,116.3,15.7,65774.3,26339.4,1885.7
01-Well-B1,,75.0,113816,84818,75121,58,74,188,514.7,214.0,23.5,150087.7,26130.9,2198.5
01-Well-B2,,75.0,131205,97171,87950,20,98,188,552.7,107.6,19.1,115405.0,22830.1,1701.7
01-Well-B3,,75.0,139498,103257,95155,47,201,355,427.2,230.1,26.0,143984.3,33361.2,2568.5
01-Well-B4,,75.0,136466,101692,92253,46,98,172,303.4,172.9,19.2,127781.5,23683.1,1943.9
01-Well-B5,,75.0,104471,76457,70662,16,309,502,864.8,486.7,21.5,271412.6,40806.7,3758.6
01-Well-B6,,75.1,83747,60819,56888,22,341,548,669.4,516.4,14.6,232444.8,51413.9,3837.7
01-Well-B7,,75.0,180020,134985,124353,30,216,244,286.2,274.6,20.3,159659.5,24367.8,2055.6
01-Well-B8,,75.0,142032,104234,97840,33,346,456,497.0,245.3,22.8,195370.3,32799.2,2244.1
01-Well-B9,,75.1,160345,119201,113808,26,314,489,647.7,432.1,19.1,310445.9,31631.3,3162.2
01-Well-B10,,75.1,165156,123061,114602,47,211,427,266.5,170.5,21.8,177399.2,25876.9,2486.0
01-Well-B11,,75.1,192653,143533,134322,27,252,244,201.5,146.3,20.7,106325.2,22845.5,2036.2
01-Well-B12,,75.1,172163,127373,118763,32,311,324,322.4,223.2,22.9,163396.0,30965.3,2708.1
01-Well-C1,,75.0,138483,101521,85642,88,66,158,401.3,397.8,17.9,154469.6,24640.0,1893.4
01-Well-C2,,75.0,168391,124176,115599,45,281,442,280.9,245.9,24.3,180457.2,27761.8,2936.3
01-Well-C3,,75.1,70869,49676,43028,64,56,172,391.3,371.0,29.3,182757.9,37672.4,2601.0
01-Well-C4,,75.1,107918,78004,69673,54,92,207,473.1,285.5,28.9,180668.2,24641.0,2248.9
01-Well-C5,,75.1,70475,49522,43356,42,44,141,358.4,256.7,23.3,196637.4,34829.5,2314.1
01-Well-C6,,75.1,135220,99069,82712,96,38,127,374.9,271.1,12.7,112726.5,33056.0,2129.6
01-Well-C7,,75.0,112020,80768,71147,86,71,136,649.5,458.8,19.7,163608.2,20464.5,2005.8
01-Well-C8,,75.1,177050,130365,123941,34,352,292,311.0,197.2,23.5,192982.7,27577.6,2144.2
01-Well-C9,,75.0,117068,83828,76310,33,256,414,462.1,420.1,22.4,209300.5,41701.7,3333.8
01-Well-C10,,75.0,138770,100545,93038,44,201,269,419.4,327.4,28.0,261671.2,26061.1,2210.0
01-Well-C11,,75.1,103866,73192,62590,61,102,173,876.5,769.2,22.9,178020.6,26030.1,2303.5
01-Well-C12,,75.1,104774,74789,70413,21,398,551,630.9,586.7,20.7,444201.7,44184.0,3900.0
01-Well-D1,,75.0,105809,76119,67222,63,62,176,502.2,293.3,21.6,178967.7,24210.4,1841.1
01-Well-D2,,75.0,166109,121284,112795,44,236,312,442.4,332.1,24.6,132247.9,31430.6,2468.8
01-Well-D3,,75.1,145405,104760,96281,55,174,294,278.0,267.2,28.9,143374.2,29396.1,2439.9
01-Well-D4,,75.0,74293,50783,44975,52,106,205,571.8,424.0,27.3,174428.3,40590.9,2849.1
01-Well-D5,,75.0,140068,101584,93169,26,143,235,165.8,141.6,26.7,108689.4,26273.9,1846.2
01-Well-D6,,75.0,146663,106335,92107,50,45,93,269.5,100.9,16.4,97562.6,26164.0,2192.3
01-Well-D7,,75.0,117161,83638,77084,33,299,518,459.9,421.1,24.0,163059.6,36807.8,3681.3
01-Well-D8,,75.1,78298,54921,44951,63,33,83,406.0,369.3,18.0,153347.0,28754.7,2428.9
01-Well-D9,,75.1,91490,63822,60017,21,364,578,618.6,685.0,20.1,263468.6,50145.7,3949.7
01-Well-D10,,75.0,39083,22261,18987,37,425,795,1538.6,2033.6,30.7,262796.4,42050.9,3990.5
01-Well-D11,,75.0,74206,49588,45559,27,449,589,997.9,725.4,28.9,290001.3,43592.4,3616.2
01-Well-D12,,75.1,87576,59809,55689,30,442,623,650.7,622.6,26.1,211697.3,38799.7,3663.8
01-Well-E1,,75.0,186831,137470,129954,24,324,275,206.8,145.4,24.8,134748.9,24920.6,2122.8
01-Well-E2,,75.1,92207,64416,57503,48,199,327,565.5,404.5,32.0,175034.2,30960.2,3095.1
01-Well-E3,,75.1,75436,50728,42413,33,42,104,194.3,205.6,20.3,136710.7,30468.7,2512.0
01-Well-E4,,75.0,164809,119683,113254,40,320,537,296.0,262.2,25.2,261983.3,29379.5,2961.2
01-Well-E5,,75.0,177616,127824,118779,24,241,262,207.8,154.8,24.8,177357.6,24693.5,1989.1
01-Well-E6,,75.1,34647,19536,16890,29,421,639,1465.4,2039.3,29.4,322424.5,52994.1,3978.7
01-Well-E7,,75.1,106932,74457,67508,42,122,187,609.9,339.3,30.0,198858.9,25680.4,1893.5
01-Well-E8,,75.1,153223,110016,103083,30,305,305,226.0,209.6,26.8,183346.6,25664.7,2302.9
01-Well-E9,,75.1,87803,59833,55787,33,410,584,662.5,637.3,28.0,328012.5,39359.6,3784.8
01-Well-E10,,75.0,35543,19786,17178,27,383,670,1603.1,2093.2,30.5,145820.2,49316.4,3927.8
01-Well-E11,,75.0,92555,63016,58807,28,419,600,710.3,586.4,21.8,110383.5,45636.2,3950.2
01-Well-E12,,75.1,73262,47332,43429,29,444,566,685.8,748.7,34.0,190922.2,37854.9,3685.1
01-Well-F1,,75.1,120113,84355,78298,27,276,495,317.2,345.5,27.5,314305.7,34102.8,3801.0
01-Well-F2,,75.0,109533,74553,66880,67,88,148,366.5,417.3,33.9,153342.9,22070.9,2252.7
01-Well-F3,,75.0,73922,48087,39988,67,53,120,370.2,392.9,26.8,166170.7,28871.3,2549.4
01-Well-F4,,75.0,106659,72865,65919,54,61,190,240.6,264.6,26.9,147441.0,30316.7,2511.1
01-Well-F5,,75.0,88529,61582,55068,64,153,248,404.0,349.1,27.7,143871.5,38323.5,2882.3
01-Well-F6,,75.1,40107,23196,20095,26,425,700,1931.7,1937.3,29.8,255965.6,46755.2,3882.0
01-Well-F7,,75.1,165293,119202,113658,23,308,449,229.0,246.0,26.4,182808.3,32548.3,3054.4
01-Well-F8,,75.0,39173,22290,19319,31,471,713,1233.2,1756.1,27.9,274531.0,40806.8,4048.9
01-Well-F9,,75.0,39116,21928,18483,35,500,852,2404.4,3044.5,31.2,221208.3,43103.8,3902.0
01-Well-F10,,75.0,104491,71559,66661,23,400,450,553.8,558.6,32.7,164157.5,34948.8,2544.8
01-Well-F11,,75.1,125333,87354,74612,82,58,113,205.6,174.8,19.6,110833.0,29766.7,2083.1
01-Well-F12,,75.0,71256,46539,42128,27,445,487,1035.9,873.2,37.8,273243.6,38738.3,3072.6
01-Well-G1,,75.1,149025,105918,93865,60,90,154,217.7,179.9,26.0,102968.9,22673.3,1777.8
01-Well-G2,,75.0,195111,141631,134180,34,350,273,167.1,173.9,28.0,180859.5,24251.0,2108.4
01-Well-G3,,75.1,130202,90294,83136,54,113,258,266.2,308.0,27.1,152362.3,25265.9,2342.6
01-Well-G4,,75.1,118505,80899,72600,47,151,228,345.7,241.1,25.6,179568.6,14775.4,2764.9
01-Well-G5,,75.0,120101,84143,76000,68,77,190,280.6,237.7,24.3,132733.7,24419.4,2012.7
01-Well-G6,,75.1,43028,22982,19814,37,445,736,1165.0,1668.0,34.0,168787.1,39821.5,3979.2
01-Well-G7,,75.1,110182,76434,72368,18,365,590,391.1,376.2,28.7,303046.6,45092.5,4010.7
01-Well-G8,,75.1,120973,83270,71267,68,51,79,186.2,187.1,22.8,123742.9,27760.5,2162.2
01-Well-G9,,75.0,42052,23130,20100,35,453,692,2155.6,2824.5,36.6,292758.6,43701.7,4122.4
01-Well-G10,,75.0,136564,95807,71743,67,75,110,186.7,201.6,22.3,107849.4,28016.4,2143.6
01-Well-G11,,75.1,37905,20423,17114,28,465,665,1934.3,1996.7,35.1,291318.7,40230.6,4275.3
01-Well-G12,,75.1,116591,80532,76088,39,443,623,564.1,444.5,32.1,235759.0,37159.7,3873.3
01-Well-H1,,75.0,191584,137333,129086,37,314,439,224.4,211.3,31.5,258943.6,28806.0,2818.2
01-Well-H2,,75.0,173095,124443,117923,40,351,359,296.1,264.9,35.8,151747.6,25235.5,2683.2
01-Well-H3,,75.0,166753,118456,109520,42,181,208,171.6,135.8,33.0,93560.2,20925.1,2052.9
01-Well-H4,,75.1,190396,137198,131126,22,358,252,310.9,221.4,30.4,182121.1,23709.4,1969.7
01-Well-H5,,75.1,115184,80886,74697,30,292,500,305.9,304.7,33.5,203061.0,36160.3,3523.2
01-Well-H6,,75.1,143584,99601,82585,87,30,68,389.8,231.1,21.9,117134.2,33743.1,2030.4
01-Well-H7,,75.1,18704,2341,1422,1,7,4,1091.5,1078.7,77.5,18332.4,22446.2,3595.4
01-Well-H8,,75.1,11144,858,508,2,6,6,289.7,1537.2,85.5,58308.4,38848.1,2974.7
01-Well-H9,,75.0,12032,962,572,2,7,0,1631.3,1530.8,92.6,18616.0,33164.4,####
