individual,treatment,project,contact,PI,weight_mg,ug_N,N_15_perc_vs_air,ug_C,C13_perc_vs_vpdb,perc_N,perc_C,C_to_N,clone,size
C1-1,control,TURNT,Sean Swift,Craig Nelson,2.5593,18.4,7.3,794.7,-11.7,0.00718946586957371,0.310514593834252,43.1902173913044,C1,large
C1-2,control,TURNT,Sean Swift,Craig Nelson,2.5772,18.4,7.8,798.8,-11.8,0.00713953127425113,0.309948781623467,43.4130434782609,C1,small
C2-1,control,TURNT,Sean Swift,Craig Nelson,2.6427,16.4,7.5,862.6,-14,0.0062057743973966,0.326408597267946,52.5975609756098,C2,large
C2-2,control,TURNT,Sean Swift,Craig Nelson,2.4056,16.4,7.7,789.5,-13.9,0.00681742600598603,0.328192550714998,48.140243902439,C2,small
C3-1,control,TURNT,Sean Swift,Craig Nelson,2.949,22.7,7.3,940.1,-12.2,0.00769752458460495,0.318786029162428,41.4140969162996,C3,large
C3-2,control,TURNT,Sean Swift,Craig Nelson,3.3695,25.2,7.1,1098,-12.1,0.00747885442944057,0.325864371568482,43.5714285714286,C3,small
C4-1,control,TURNT,Sean Swift,Craig Nelson,2.3091,20.2,6.4,788.6,-13.2,0.00874799705512971,0.341518340478975,39.039603960396,C4,large
C4-2,control,TURNT,Sean Swift,Craig Nelson,2.9601,30.8,6.8,1056,-12.3,0.0104050538833148,0.356744704570792,34.2857142857143,C4,small
C5-1,control,TURNT,Sean Swift,Craig Nelson,2.3965,19.6,7.5,795.5,-13.8,0.00817859378259963,0.331942416023367,40.5867346938776,C5,large
C5-2,control,TURNT,Sean Swift,Craig Nelson,2.366,23.1,6.8,813.5,-16.3,0.00976331360946746,0.343829247675402,35.2164502164502,C5,small
N1-1,nutrient,TURNT,Sean Swift,Craig Nelson,2.0556,15.4,6.4,617.1,-12.6,0.00749172990854252,0.300204319906597,40.0714285714286,N1,large
N1-2,nutrient,TURNT,Sean Swift,Craig Nelson,2.7999,21.8,7.1,808.8,-12.4,0.00778599235686989,0.288867459552127,37.1009174311927,N1,small
N2-1,nutrient,TURNT,Sean Swift,Craig Nelson,2.7088,20.1,7,864.7,-12,0.00742025989367986,0.31921884229179,43.0199004975124,N2,large
N2-2,nutrient,TURNT,Sean Swift,Craig Nelson,2.6194,21.9,6.8,808.4,-10.7,0.00836069328853936,0.308620294723983,36.9132420091324,N2,small
N3-1,nutrient,TURNT,Sean Swift,Craig Nelson,2.7129,23.2,6.9,870.9,-13.4,0.00855173430646172,0.321021784805927,37.5387931034483,N3,large
N3-2,nutrient,TURNT,Sean Swift,Craig Nelson,1.9637,17.8,6.2,668.4,-14.4,0.00906452105718796,0.340377858124968,37.5505617977528,N3,small
N4-1,nutrient,TURNT,Sean Swift,Craig Nelson,2.5756,21.4,7.1,785.2,-12.5,0.00830874359372573,0.304861003261376,36.6915887850467,N4,large
N4-2,nutrient,TURNT,Sean Swift,Craig Nelson,2.6473,24.4,6.6,879.1,-12,0.00921693801231443,0.332074188796132,36.0286885245902,N4,small
N5-1,nutrient,TURNT,Sean Swift,Craig Nelson,2.2918,18.6,7.4,732.1,-13.8,0.00811589143904355,0.319443232393752,39.3602150537634,N5,large
N5-2,nutrient,TURNT,Sean Swift,Craig Nelson,2.1311,19.4,6.7,684.2,-14.6,0.00910327999624607,0.321054854300596,35.2680412371134,N5,small
R1-1,recharge,TURNT,Sean Swift,Craig Nelson,2.7772,17.2,6.6,820.6,-13.8,0.00619328820394642,0.295477459311537,47.7093023255814,R1,large
R1-2,recharge,TURNT,Sean Swift,Craig Nelson,2.7176,21.7,7.1,914.8,-11.6,0.00798498675301737,0.336620547541949,42.1566820276498,R1,small
R2-1,recharge,TURNT,Sean Swift,Craig Nelson,1.7603,17.7,6.2,617.2,-14,0.0100551042435948,0.350622053059138,34.8700564971751,R2,large
R2-2,recharge,TURNT,Sean Swift,Craig Nelson,2.7986,22.5,7.4,952.1,-11.4,0.00803973415279068,0.340205817194311,42.3155555555556,R2,small
R3-1,recharge,TURNT,Sean Swift,Craig Nelson,2.1448,19.1,6.3,714.2,-12.5,0.00890525923162999,0.332991421111526,37.3926701570681,R3,large
R3-2,recharge,TURNT,Sean Swift,Craig Nelson,2.256,19.1,6.9,758.4,-12.3,0.00846631205673759,0.336170212765957,39.7068062827225,R3,small
R4-1,recharge,TURNT,Sean Swift,Craig Nelson,2.9928,28.1,6.6,979.4,-11.7,0.00938920074846298,0.327252071638599,34.8540925266904,R4,large
R4-2,recharge,TURNT,Sean Swift,Craig Nelson,2.4045,20.1,6.5,778.9,-12.2,0.00835932626325639,0.323934289873155,38.7512437810945,R4,small
R5-1,recharge,TURNT,Sean Swift,Craig Nelson,1.9659,16.9,6.4,679.7,-12.8,0.00859657154483951,0.345744951421741,40.2189349112426,R5,large
R5-2,recharge,TURNT,Sean Swift,Craig Nelson,2.6422,25.6,6.4,915,-13,0.00968889561728862,0.346302323821058,35.7421875,R5,small
